goos: linux
goarch: amd64
pkg: jsonbench
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkUnmarshalRecords/json             	     100	  11465381 ns/op	 104.62 MB/s	 5091697 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11548367 ns/op	 103.86 MB/s	 5091692 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10152716 ns/op	 118.14 MB/s	 5091683 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10402226 ns/op	 115.31 MB/s	 5091700 B/op	   50213 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     120	   9917708 ns/op	 120.94 MB/s	 5091699 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10001545 ns/op	 119.93 MB/s	 5091699 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     120	   9899838 ns/op	 121.16 MB/s	 5091699 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10076213 ns/op	 119.04 MB/s	 5091697 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10000887 ns/op	 119.93 MB/s	 5091697 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     100	  10042230 ns/op	 119.44 MB/s	 5091699 B/op	   50212 allocs/op
BenchmarkMarshalRecords/json               	     262	   4507818 ns/op	 266.08 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     267	   4432256 ns/op	 270.62 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     268	   4409049 ns/op	 272.04 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     267	   4425092 ns/op	 271.06 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     270	   4415995 ns/op	 271.62 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     265	   4527996 ns/op	 264.90 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     270	   4404894 ns/op	 272.30 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     272	   4433669 ns/op	 270.53 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     268	   4437600 ns/op	 270.29 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     270	   4495805 ns/op	 266.79 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     266	   4518662 ns/op	 265.44 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     271	   4509951 ns/op	 265.96 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     256	   4533302 ns/op	 264.59 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     261	   4544182 ns/op	 263.95 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     259	   4521114 ns/op	 265.30 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     259	   4525411 ns/op	 265.05 MB/s	 1204287 B/op	       3 allocs/op
PASS
ok  	jsonbench	155.283s
