goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkUnmarshalRecords/json             	     202	   6001692 ns/op	 199.85 MB/s	 5091682 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     204	   5870012 ns/op	 204.34 MB/s	 5091682 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     232	   5054563 ns/op	 237.30 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     238	   5029466 ns/op	 238.48 MB/s	 5091683 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     232	   5071150 ns/op	 236.52 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     235	   5052173 ns/op	 237.41 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     238	   5009862 ns/op	 239.42 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     240	   5073600 ns/op	 236.41 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     236	   5028472 ns/op	 238.53 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/jsonv2           	     234	   5039639 ns/op	 238.00 MB/s	 5091685 B/op	   50212 allocs/op
BenchmarkMarshalRecords/json               	     472	   2491696 ns/op	 481.38 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     492	   2435110 ns/op	 492.57 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     480	   2480644 ns/op	 483.52 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     484	   2471456 ns/op	 485.32 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     489	   2488406 ns/op	 482.02 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     481	   2479046 ns/op	 483.84 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     469	   2474561 ns/op	 484.71 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/json               	     483	   2475133 ns/op	 484.60 MB/s	 1204286 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     493	   2449053 ns/op	 489.76 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     480	   2486238 ns/op	 482.44 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     471	   2536879 ns/op	 472.81 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     470	   2481490 ns/op	 483.36 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     484	   2539451 ns/op	 472.33 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     478	   2486544 ns/op	 482.38 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     487	   2538298 ns/op	 472.54 MB/s	 1204287 B/op	       3 allocs/op
BenchmarkMarshalRecords/jsonv2             	     492	   2458416 ns/op	 487.90 MB/s	 1204286 B/op	       3 allocs/op
PASS
ok  	jsonbench	155.322s
